Heathrow Daily Mean Temp.,Leeming Daily Mean Temp.
14.6,10.0
8.8,6.4
7.2,6.5
7.3,7.8
10.1,13.2
11.9,9.8
12.2,14.7
12.1,13.7
15.2,12.0
11.1,9.3
10.6,10.8
12.7,8.5
8.9,7.4
10.0,6.9
9.5,7.0
9.3,5.8
10.9,6.5
10.7,8.8
11.9,8.0
9.5,8.2
10.4,9.7
9.7,8.3
9.8,9.4
13.1,9.5
12.6,12.4
15.9,10.2
14.9,8.8
13.5,9.7
14.2,10.5
16.8,14.0
16.2,14.1
15.4,14.3
13.7,12.7
14.8,12.4
15.5,10.9
11.7,9.4
14.2,13.2
14.0,12.1
12.1,10.3
11.3,10.3
11.3,10.6
13.9,10.8
12.5,10.7
13.0,9.2
13.9,10.6
12.2,10.4
11.7,9.2
12.6,9.6
13.5,12.8
13.8,11.7
14.4,12.7
14.9,12.7
13.2,12.0
15.8,12.7
15.5,13.4
14.4,11.3
16.7,11.7
17.9,15.1
21.0,17.4
23.2,19.3
20.9,15.2
16.1,14.2
16.6,15.3
18.0,16.5
19.1,17.7
20.5,19.1
21.8,20.2
20.8,17.8
17.9,15.0
17.7,14.3
21.3,18.1
20.6,17.9
17.2,16.1
19.5,17.9
20.4,16.5
19.7,18.5
16.4,14.6
14.6,15.1
15.1,14.6
15.3,14.9
17.1,14.3
14.4,13.2
15.6,12.7
14.2,14.7
15.4,13.1
14.2,12.5
14.5,12.3
17.4,15.9
17.4,14.9
18.7,18.0
16.6,17.4
19.8,17.6
17.5,14.1
17.4,15.0
16.9,14.8
14.4,12.5
14.2,13.5
14.5,12.1
14.5,10.7
14.4,14.8
16.4,13.6
15.3,13.3
14.6,13.2
16.8,15.7
19.2,17.8
18.0,16.1
19.5,15.8
20.9,19.1
20.2,20.4
19.8,18.2
19.0,16.1
22.0,20.6
23.5,21.5
21.0,15.2
17.3,14.3
16.2,13.2
13.2,13.8
14.0,12.5
13.8,13.6
16.8,15.5
17.6,19.1
17.0,16.9
16.4,15.1
18.1,14.1
18.7,14.0
18.9,17.4
15.8,14.5
16.3,14.3
14.8,13.2
15.4,13.8
14.4,11.8
16.0,13.9
17.1,14.0
16.1,14.9
18.9,16.1
14.9,14.1
15.6,14.5
14.4,14.2
16.1,16.2
19.4,16.2
18.1,13.9
14.8,10.2
18.4,13.8
18.7,17.0
16.0,15.0
15.2,14.3
13.5,12.2
11.0,9.7
9.5,7.9
10.1,7.2
11.6,10.4
10.4,10.7
12.4,8.9
12.4,9.8
14.1,10.9
15.8,11.2
16.4,9.5
16.3,11.3
13.7,12.0
11.7,9.5
11.2,9.8
10.4,8.3
9.4,6.9
9.3,8.3
10.5,7.8
11.1,7.8
9.0,8.1
13.1,8.7
11.5,9.3
11.9,10.5
13.5,11.7
14.7,13.2
12.8,11.3
12.8,12.8
10.6,8.5
6.8,5.1
8.5,5.5
7.3,6.6
8.2,7.2
12.5,8.2
9.2,8.1
6.9,4.0
8.7,4.2
11.2,5.7
